nodenumber,    x-coordinate,    y-coordinate,  axial-velocity, radial-velocity,turb-kinetic-energy,  viscosity-turb,daxial-velocity-dx,dradial-velocity-dx,daxial-velocity-dy,dradial-velocity-dy
      1291, 8.999999951E+00, 2.732647370E+00, 1.812445368E-03,-3.255565803E-03, 2.888475737E-05, 7.114758999E-04, 2.145257826E-03, 6.133229135E-04,-8.208685789E-03,-9.538658257E-04
      1292, 1.099999988E+01, 2.732647329E+00, 7.052002981E-03,-1.903070668E-03, 9.522251382E-05, 1.695948856E-03, 2.719081798E-03, 6.404831603E-04,-1.416130370E-02,-2.022731171E-03
      1293, 1.299999997E+01, 2.732647329E+00, 1.203926393E-02,-8.172058803E-04, 1.429082021E-04, 2.468649923E-03, 2.211826679E-03, 4.437161766E-04,-1.547184067E-02,-1.912862754E-03
      1294, 4.999999929E+00, 2.774494467E+00,-1.989199245E-04,-3.896993813E-03, 6.115523735E-06, 2.797307913E-03, 2.442951231E-04, 1.489256720E-04,-3.557131408E-04, 1.160441107E-03
      1295, 6.999999954E+00, 2.774494467E+00, 1.457743015E-04,-3.715118875E-03, 5.048796688E-06, 1.098061715E-03, 1.083006071E-04, 4.840583675E-05,-3.249179387E-04, 1.230871100E-03
      1296, 8.999999951E+00, 2.774494508E+00, 1.490815844E-03,-3.290758663E-03, 2.386370456E-05, 6.430208107E-04, 1.917218131E-03, 5.569365948E-04,-7.177291230E-03,-7.310914264E-04
      1297, 1.099999988E+01, 2.774494467E+00, 6.473955626E-03,-1.985977091E-03, 8.708592517E-05, 1.616231372E-03, 2.656518809E-03, 6.354435482E-04,-1.347518659E-02,-1.940782050E-03
      1298, 1.299999997E+01, 2.774494467E+00, 1.140216425E-02,-8.966422220E-04, 1.350512495E-04, 2.399855905E-03, 2.207139713E-03, 4.496487254E-04,-1.498407026E-02,-1.884052409E-03
      1299, 4.999999929E+00, 2.816947288E+00,-2.135190877E-04,-3.848411968E-03, 5.956815704E-06, 2.764305375E-03, 2.375614051E-04, 1.471820891E-04,-3.324017535E-04, 1.128757063E-03
      1300, 6.999999954E+00, 2.816947288E+00, 1.323032636E-04,-3.663654347E-03, 4.921696834E-06, 1.208216970E-03, 1.064592884E-04, 4.831154529E-05,-3.097970996E-04, 1.194255429E-03
      1301, 8.999999951E+00, 2.816947330E+00, 1.208320199E-03,-3.316803863E-03, 1.947793546E-05, 5.802124946E-04, 1.676401881E-03, 4.949493031E-04,-6.145308761E-03,-4.988917459E-04
      1302, 1.099999988E+01, 2.816947288E+00, 5.916644497E-03,-2.066513829E-03, 7.928482908E-05, 1.535953476E-03, 2.588163539E-03, 6.286819561E-04,-1.279022954E-02,-1.854619574E-03
      1303, 1.299999997E+01, 2.816947288E+00, 1.077660169E-02,-9.759438060E-04, 1.273393270E-04, 2.329883581E-03, 2.198761193E-03, 4.548899067E-04,-1.449392736E-02,-1.852389766E-03
      1304, 4.999999929E+00, 2.860014560E+00,-2.273243700E-04,-3.800455436E-03, 5.796612080E-06, 2.724025286E-03, 2.302475103E-04, 1.450095412E-04,-3.090472397E-04, 1.098724974E-03
      1305, 6.999999954E+00, 2.860014560E+00, 1.191902660E-04,-3.613030144E-03, 4.809417936E-06, 1.320599604E-03, 1.061821986E-04, 4.881636474E-05,-2.992252971E-04, 1.157241325E-03
      1306, 8.999999951E+00, 2.860014603E+00, 9.659261676E-04,-3.333095760E-03, 1.573023422E-05, 5.248369407E-04, 1.426062384E-03, 4.281269684E-04,-5.124542061E-03,-2.605663294E-04
      1307, 1.099999988E+01, 2.860014560E+00, 5.380739321E-03,-2.144410842E-03, 7.182843227E-05, 1.455232594E-03, 2.513888737E-03, 6.200947662E-04,-1.210650743E-02,-1.764150970E-03
      1308, 1.299999997E+01, 2.860014560E+00, 1.016313693E-02,-1.054967121E-03, 1.197830879E-04, 2.258765951E-03, 2.186656257E-03, 4.593981208E-04,-1.400182052E-02,-1.817869028E-03
      1309, 4.999999929E+00, 2.903705176E+00,-2.403128051E-04,-3.753083752E-03, 5.635107449E-06, 2.678042648E-03, 2.224669849E-04, 1.424574738E-04,-2.858609828E-04, 1.070189335E-03
