nodenumber,    x-coordinate,    y-coordinate,  axial-velocity, radial-velocity,turb-kinetic-energy,  viscosity-turb,daxial-velocity-dx,dradial-velocity-dx,daxial-velocity-dy,dradial-velocity-dy
        83, 5.598386865E-01, 6.856046555E-17, 1.505375602E+00, 8.503430775E-04, 2.327774134E-02, 1.074594983E-03,-6.327330290E-01, 2.578990309E-03,-1.132409303E+00, 3.120870232E-01
        84, 5.702368893E-01, 6.983387812E-17, 1.498685965E+00, 8.777184440E-04, 2.383488939E-02, 1.095911615E-03,-6.537313765E-01, 2.684847029E-03,-1.143380538E+00, 3.223726173E-01
        85, 5.807494723E-01, 7.112129824E-17, 1.491695657E+00, 9.064600099E-04, 2.443399154E-02, 1.118845622E-03,-6.759230038E-01, 2.781552195E-03,-1.153933697E+00, 3.332231396E-01
        86, 5.913776937E-01, 7.242287997E-17, 1.484386444E+00, 9.364858130E-04, 2.507760862E-02, 1.143520374E-03,-6.992605593E-01, 2.867065507E-03,-1.163797994E+00, 3.446137586E-01
        87, 6.021228256E-01, 7.373877910E-17, 1.476740266E+00, 9.676884334E-04, 2.576806225E-02, 1.170060170E-03,-7.236663304E-01, 2.938991002E-03,-1.172670317E+00, 3.565065055E-01
        88, 6.129861539E-01, 7.506915313E-17, 1.468739607E+00, 9.999244641E-04, 2.650734163E-02, 1.198588441E-03,-7.490276931E-01, 2.993563531E-03,-1.180221380E+00, 3.688472996E-01
        89, 6.239689788E-01, 7.641416127E-17, 1.460367937E+00, 1.033003810E-03, 2.729696885E-02, 1.229224084E-03,-7.751927197E-01, 3.026877748E-03,-1.186104356E+00, 3.815630586E-01
        90, 6.350726148E-01, 7.777396449E-17, 1.451610206E+00, 1.066720850E-03, 2.813774200E-02, 1.262072170E-03,-8.019717760E-01, 3.042736511E-03,-1.189966208E+00, 3.945665769E-01
        91, 6.462983908E-01, 7.914872556E-17, 1.442453310E+00, 1.101015160E-03, 2.902978942E-02, 1.297228436E-03,-8.291432949E-01, 3.075672312E-03,-1.191459145E+00, 4.077786760E-01
        92, 6.576476503E-01, 8.053860899E-17, 1.432886582E+00, 1.136280857E-03, 2.997260607E-02, 1.334782512E-03,-8.564394269E-01, 3.145290007E-03,-1.190259216E+00, 4.211581139E-01
        93, 6.691217517E-01, 8.194378115E-17, 1.422902512E+00, 1.172694910E-03, 3.096479519E-02, 1.374807492E-03,-8.835468904E-01, 3.189092227E-03,-1.186089940E+00, 4.346107525E-01
        94, 6.807220682E-01, 8.336441019E-17, 1.412497251E+00, 1.209505858E-03, 3.200395868E-02, 1.417355997E-03,-9.101032205E-01, 3.146461345E-03,-1.178707072E+00, 4.479173681E-01
        95, 6.924499882E-01, 8.480066616E-17, 1.401671060E+00, 1.245708658E-03, 3.308666242E-02, 1.462459234E-03,-9.359068025E-01, 3.041067798E-03,-1.167866923E+00, 4.608218788E-01
        96, 7.043069153E-01, 8.625272094E-17, 1.390426452E+00, 1.280479850E-03, 3.420842395E-02, 1.510126456E-03,-9.605056966E-01, 2.751409794E-03,-1.152293249E+00, 4.729989146E-01
        97, 7.162942686E-01, 8.772074832E-17, 1.378774631E+00, 1.311100612E-03, 3.536381350E-02, 1.560332686E-03,-9.831459011E-01, 2.412947994E-03,-1.128151911E+00, 4.841123369E-01
        98, 7.284134827E-01, 8.920492401E-17, 1.366732468E+00, 1.339513510E-03, 3.654656252E-02, 1.612924790E-03,-1.003984943E+00, 2.340636538E-03,-1.098418781E+00, 4.946282268E-01
        99, 7.406660083E-01, 9.070542563E-17, 1.354310980E+00, 1.368013340E-03, 3.774949519E-02, 1.667694565E-03,-1.023446336E+00, 2.229123944E-03,-1.068767649E+00, 5.047280270E-01
