nodenumber,    x-coordinate,    y-coordinate,  axial-velocity, radial-velocity,turb-kinetic-energy,  viscosity-turb,daxial-velocity-dx,dradial-velocity-dx,daxial-velocity-dy,dradial-velocity-dy
       807, 1.099999988E+01, 5.587428652E-01, 9.251993956E-02, 1.943863776E-03, 9.667552941E-04, 3.273075832E-03,-4.610636385E-03,-2.190468066E-04,-6.863419054E-02, 1.131441712E-03
       808, 1.299999997E+01, 5.587428652E-01, 8.366678920E-02, 1.555191633E-03, 7.134948259E-04, 3.289282096E-03,-4.196230613E-03,-1.701397001E-04,-4.643077661E-02, 1.412737101E-03
       809, 4.999999929E+00, 5.691255055E-01, 1.007310824E-01, 2.276182008E-03, 2.705024416E-03, 2.772241988E-03, 9.573223899E-03, 9.347117730E-04,-2.751499317E-01,-1.357408798E-02
       810, 6.999999954E+00, 5.691255055E-01, 1.067387168E-01, 2.818147248E-03, 1.955130807E-03, 3.109028259E-03,-1.329383252E-03,-1.004197763E-04,-1.700499569E-01,-3.623048203E-03
       811, 8.999999951E+00, 5.691255139E-01, 1.005949532E-01, 2.421244149E-03, 1.354757758E-03, 3.225633076E-03,-4.123818720E-03,-2.410350498E-04,-1.063010665E-01,-1.308724586E-04
       812, 1.099999988E+01, 5.691255055E-01, 9.180452329E-02, 1.955069214E-03, 9.647970759E-04, 3.269798992E-03,-4.463951634E-03,-2.160430274E-04,-6.916822537E-02, 1.028531955E-03
       813, 1.299999997E+01, 5.691255055E-01, 8.318220432E-02, 1.569522341E-03, 7.129571585E-04, 3.287520907E-03,-4.106594802E-03,-1.696062558E-04,-4.690759149E-02, 1.348696094E-03
       814, 4.999999929E+00, 5.796584212E-01, 9.785195869E-02, 2.131488274E-03, 2.637431125E-03, 2.741250285E-03, 1.021732110E-02, 1.016918705E-03,-2.715919004E-01,-1.389587570E-02
       815, 6.999999954E+00, 5.796584212E-01, 1.049496807E-01, 2.778531534E-03, 1.933868457E-03, 3.094761016E-03,-8.987979143E-04,-7.019178229E-05,-1.696595015E-01,-3.895318267E-03
       816, 8.999999951E+00, 5.796584298E-01, 9.947321804E-02, 2.418955241E-03, 1.348027562E-03, 3.218768466E-03,-3.872141164E-03,-2.305984238E-04,-1.066894863E-01,-3.013008716E-04
       817, 1.099999988E+01, 5.796584212E-01, 9.107323798E-02, 1.965346252E-03, 9.626599945E-04, 3.266299754E-03,-4.315109384E-03,-2.127301556E-04,-6.968154972E-02, 9.243779285E-04
       818, 1.299999997E+01, 5.796584212E-01, 8.268563398E-02, 1.583380067E-03, 7.123403506E-04, 3.285631462E-03,-4.015254402E-03,-1.689101347E-04,-4.737494273E-02, 1.283557794E-03
       819, 4.999999929E+00, 5.903437875E-01, 9.497003681E-02, 1.981370176E-03, 2.568613711E-03, 2.709093893E-03, 1.083998618E-02, 1.099584879E-03,-2.678761827E-01,-1.419767679E-02
       820, 6.999999954E+00, 5.903437875E-01, 1.031394155E-01, 2.735450954E-03, 1.911706981E-03, 3.079771552E-03,-4.700844901E-04,-3.894672087E-05,-1.691781501E-01,-4.164298691E-03
       821, 8.999999951E+00, 5.903437963E-01, 9.833134048E-02, 2.414809108E-03, 1.340876091E-03, 3.211491239E-03,-3.618604939E-03,-2.195643732E-04,-1.070329424E-01,-4.722855408E-04
       822, 1.099999988E+01, 5.903437875E-01, 9.032599956E-02, 1.974652662E-03, 9.603359062E-04, 3.262565906E-03,-4.164163340E-03,-2.091001658E-04,-7.017340034E-02, 8.190335329E-04
