nodenumber,    x-coordinate,    y-coordinate,  axial-velocity, radial-velocity,turb-kinetic-energy,  viscosity-turb,daxial-velocity-dx,dradial-velocity-dx,daxial-velocity-dy,dradial-velocity-dy
      1324, 4.999999929E+00, 3.038607963E+00,-2.786454875E-04,-3.548865091E-03, 5.136817631E-06, 2.514364111E-03, 1.932657654E-04, 1.310900391E-04,-2.144205690E-04, 9.747872336E-04
      1325, 6.999999954E+00, 3.038607963E+00, 5.632886636E-05,-3.356744852E-03, 4.332357098E-06, 1.709115071E-03, 1.047755393E-04, 5.128850861E-05,-2.560755119E-04, 1.000037826E-03
      1326, 8.999999951E+00, 3.038608008E+00, 2.990232717E-04,-3.259846118E-03, 6.478065437E-06, 3.820616011E-04, 4.056662697E-04, 1.327784848E-04,-1.368823347E-03, 6.672199923E-04
      1327, 1.099999988E+01, 3.038607963E+00, 3.097392922E-03,-2.468944444E-03, 4.157765129E-05, 1.047371549E-03, 2.054793152E-03, 5.373874768E-04,-8.906405211E-03,-1.242293582E-03
      1328, 1.299999997E+01, 3.038607963E+00, 7.363059177E-03,-1.440384209E-03, 8.520052248E-05, 1.857652164E-03, 2.078298788E-03, 4.637622904E-04,-1.178488115E-02,-1.604336069E-03
      1329, 4.999999929E+00, 3.084883491E+00,-2.880878968E-04,-3.504308987E-03, 4.979348350E-06, 2.458775669E-03, 1.848480311E-04, 1.275478585E-04,-1.939686331E-04, 9.512390731E-04
      1330, 6.999999954E+00, 3.084883491E+00, 4.447158518E-05,-3.311289892E-03, 4.256809865E-06, 1.833735526E-03, 1.084993087E-04, 5.353709033E-05,-2.563797665E-04, 9.650022360E-04
      1331, 8.999999951E+00, 3.084883537E+00, 2.458738968E-04,-3.226633370E-03, 5.489602506E-06, 3.920509434E-04, 2.797657926E-04, 9.470914008E-05,-9.360317796E-04, 7.662928623E-04
      1332, 1.099999988E+01, 3.084883491E+00, 2.701563371E-03,-2.523618374E-03, 3.637754296E-05, 9.700682028E-04, 1.940448781E-03, 5.153523126E-04,-8.211134755E-03,-1.122407130E-03
      1333, 1.299999997E+01, 3.084883491E+00, 6.829649835E-03,-1.513403392E-03, 7.881863982E-05, 1.782329282E-03, 2.042784967E-03, 4.628427062E-04,-1.127606315E-02,-1.552259209E-03
      1334, 4.999999929E+00, 3.131828798E+00,-2.967273571E-04,-3.460193489E-03, 4.821904919E-06, 2.402663268E-03, 1.764414260E-04, 1.238765664E-04,-1.743805299E-04, 9.285281431E-04
      1335, 6.999999954E+00, 3.131828798E+00, 3.243998799E-05,-3.266794449E-03, 4.183294706E-06, 1.957411853E-03, 1.120843358E-04, 5.579827381E-05,-2.561993387E-04, 9.311141754E-04
      1336, 8.999999951E+00, 3.131828845E+00, 2.091189711E-04,-3.189193865E-03, 4.775553607E-06, 4.174850885E-04, 1.906627463E-04, 6.710341687E-05,-6.351817625E-04, 8.277387445E-04
      1337, 1.099999988E+01, 3.131828798E+00, 2.332667851E-03,-2.573318587E-03, 3.156316287E-05, 8.940071188E-04, 1.818418903E-03, 4.904443332E-04,-7.514866377E-03,-9.967625358E-04
      1338, 1.299999997E+01, 3.131828798E+00, 6.312392911E-03,-1.584965449E-03, 7.265893326E-05, 1.706239741E-03, 2.003299369E-03, 4.608667081E-04,-1.076782497E-02,-1.497274000E-03
      1339, 4.999999929E+00, 3.179453579E+00,-3.045821694E-04,-3.416503541E-03, 4.664808339E-06, 2.346738297E-03, 1.681320401E-04, 1.201296384E-04,-1.557541037E-04, 9.065419561E-04
      1340, 6.999999954E+00, 3.179453579E+00, 2.025737295E-05,-3.223240384E-03, 4.111164589E-06, 2.078921650E-03, 1.154637094E-04, 5.803988450E-05,-2.554183523E-04, 8.984065202E-04
      1341, 8.999999951E+00, 3.179453626E+00, 1.836154123E-04,-3.149025137E-03, 4.265465397E-06, 4.579467171E-04, 1.318466937E-04, 4.858456658E-05,-4.390406155E-04, 8.587177908E-04
