nodenumber,    x-coordinate,    y-coordinate,  axial-velocity, radial-velocity,turb-kinetic-energy,  viscosity-turb,daxial-velocity-dx,dradial-velocity-dx,daxial-velocity-dy,dradial-velocity-dy
      1418, 1.299999997E+01, 3.982401480E+00,-4.225095465E-05,-2.598971113E-03, 1.272273993E-07, 4.919655489E-05, 2.219698270E-06, 5.225557919E-07, 5.567282276E-06, 6.504488982E-04
      1419, 4.999999929E+00, 4.042337217E+00,-9.582347220E-06,-2.504848638E-03, 1.942681577E-09, 4.838553473E-07,-5.159297205E-06,-1.466547714E-05,-8.934925411E-06, 6.248805566E-04
      1420, 6.999999954E+00, 4.042337217E+00,-2.662981535E-05,-2.529157086E-03, 6.215973955E-09, 1.886150749E-06,-9.991521844E-06,-1.231076156E-05, 4.590853792E-06, 6.357060550E-04
      1421, 8.999999951E+00, 4.042337277E+00,-4.278978507E-05,-2.550690116E-03, 2.936381946E-08, 1.541413714E-05,-4.587432775E-06,-7.023124546E-06, 7.653932659E-06, 6.356130160E-04
      1422, 1.099999988E+01, 4.042337217E+00,-4.645005173E-05,-2.559781960E-03, 7.421128617E-08, 3.168306292E-05, 6.990740399E-07,-2.013633256E-06, 5.368778548E-06, 6.325665237E-04
      1423, 1.299999997E+01, 4.042337217E+00,-4.197434126E-05,-2.560589515E-03, 1.240746065E-07, 4.849141843E-05, 2.892699887E-06, 6.989483112E-07, 3.678638327E-06, 6.306104253E-04
      1424, 4.999999929E+00, 4.103140447E+00,-1.010888970E-05,-2.467433905E-03, 1.892383942E-09, 4.857870132E-07,-4.654594838E-06,-1.409994649E-05,-8.392379961E-06, 6.060723620E-04
      1425, 6.999999954E+00, 4.103140447E+00,-2.634648614E-05,-2.491084965E-03, 6.007560776E-09, 1.826185146E-06,-9.705195219E-06,-1.212013274E-05, 4.726555896E-06, 6.168702181E-04
      1426, 8.999999951E+00, 4.103140508E+00,-4.232095718E-05,-2.512617765E-03, 2.841994297E-08, 1.519891764E-05,-4.574343216E-06,-7.045544703E-06, 7.765634008E-06, 6.169683927E-04
      1427, 1.099999988E+01, 4.103140447E+00,-4.612124592E-05,-2.521891199E-03, 7.217177973E-08, 3.126879906E-05, 6.000119740E-07,-2.110159331E-06, 5.445319960E-06, 6.140399468E-04
