      r       	      z       	     U_r      	    U_phi     	     U_z      	   U_r U_r       U_phi U_phi   	   U_z U_z   	   U_r U_phi   	   U_r U_z    	
1.56492140e-01	1.00000000e+00	1.62584927e-03	-6.0934465e-05	1.28728272e+00	2.73068272e-03	3.06548209e-03	1.66482075e+00	-1.6194924e-06	3.55310247e-03	
1.99148226e-01	1.00000000e+00	2.08981717e-03	-6.5970024e-05	1.26122453e+00	2.97496035e-03	3.46017590e-03	1.60023118e+00	-1.4265941e-06	4.51986191e-03	
2.43318747e-01	1.00000000e+00	2.60430323e-03	-1.0747957e-04	1.22856878e+00	3.28237908e-03	3.91421256e-03	1.52142525e+00	-1.0199338e-06	5.55387465e-03	
2.89057471e-01	1.00000000e+00	3.21536081e-03	-1.7454225e-04	1.18738293e+00	3.65242982e-03	4.40671726e-03	1.42571882e+00	-1.3618231e-07	6.72193474e-03	
3.36420073e-01	1.00000000e+00	4.08965342e-03	-1.9057726e-04	1.13044726e+00	4.12735379e-03	5.03007166e-03	1.30042906e+00	1.17279915e-06	8.27616936e-03	
3.85464207e-01	1.00000000e+00	6.00466508e-03	-7.9971734e-05	1.03021580e+00	5.03332936e-03	6.46328506e-03	1.09750386e+00	-7.5163969e-07	1.14068594e-02	
4.36249572e-01	1.00000000e+00	9.94931806e-03	-3.0571142e-05	8.02926651e-01	6.96084913e-03	9.62917178e-03	6.98826055e-01	-2.0555264e-06	1.70147676e-02	
4.88837990e-01	1.00000000e+00	7.16739078e-03	-4.3731828e-05	4.35357725e-01	8.37188031e-03	1.07041151e-02	2.33169353e-01	-2.8291651e-06	1.31989570e-02	
5.43293473e-01	1.00000000e+00	-8.0224523e-03	-1.1143665e-04	1.50952650e-01	6.91230170e-03	5.03121225e-03	4.10573780e-02	-7.2950412e-07	2.94971437e-03	
5.99682309e-01	1.00000000e+00	-1.9370294e-02	-1.6412911e-04	3.76166595e-02	3.81674174e-03	1.40381135e-03	5.39260600e-03	1.50704388e-06	-2.6880162e-04	
6.58073138e-01	1.00000000e+00	-2.1751214e-02	-1.7042529e-04	1.50174154e-02	1.68539085e-03	2.91073515e-04	1.08156540e-03	3.54460765e-06	-3.8822834e-04	
