r_profile,Uz_zd25,Ur_zd25,Uz_zd35,Ur_zd35,Uz_zd45,Ur_zd45,Uz_zd55,Ur_zd55,Uz_zd65,Ur_zd65
2.88928554,0.0889854017,0.00101646095,0.105978594,0.00284951552,0.102778955,0.00254635642,0.102778955,0.00213206236,0.0863008291,0.00182258991
3.02896499,0.0801954663,0.000431928928,0.100440705,0.00265753406,0.0992658374,0.00251655637,0.0992658374,0.00214491855,0.0847024113,0.00186626666
3.17360354,0.07151024,-0.00020448933,0.0947859627,0.00244005784,0.0956476765,0.00247211526,0.0956476765,0.0021505295,0.0830158992,0.00190325446
3.32337723,0.0629952411,-0.00087611193,0.089061832,0.00219481752,0.0919457855,0.00241555656,0.0919457855,0.0021488474,0.0812340472,0.0019311044
3.4784684,0.0547215978,-0.00155946,0.0832484743,0.00191134517,0.0881759689,0.00234076007,0.0881759689,0.00213741125,0.0793648308,0.00194958897
3.63906583,0.0467639854,-0.0022526139,0.0773724099,0.00159185873,0.0843447917,0.00224314596,0.0843447917,0.00211805303,0.077412074,0.00195501562
3.80536501,0.0391885082,-0.0029449224,0.0714905408,0.0012374804,0.0804380997,0.00212316783,0.0804380997,0.00208778696,0.0753922462,0.00194778182
3.97756837,0.0320820182,-0.0036238403,0.0656180419,0.000861363348,0.0764007319,0.00198162331,0.0764007319,0.00204005893,0.0733094392,0.0019297422
4.15588552,0.0255744495,-0.0042607398,0.05975741,0.000476100052,0.072273227,0.00181983492,0.072273227,0.00197580587,0.0711520272,0.0019057232
4.34053354,0.0197636356,-0.0048557351,0.0539750879,7.09968793e-05,0.0680879038,0.00164158608,0.0680879038,0.00189911367,0.0689107723,0.00187902652
4.53173718,0.0147984839,-0.0053653807,0.0482983637,-0.0003504797,0.0638197934,0.00143988682,0.0638197934,0.00181217364,0.0665879015,0.00185183912
